調子はどう？, How's it going?
久しぶりやな, Long time no see!
最近どう？, What have you been up to?
良い一日を, Have a good one.
何で知ってるの？, How do you know?
面白い, That's a good one.
優しい、ありがとう, That's very kind of you!
いらないけどでも、ありがとう, No thanks. But thank you anyway.
よろしくお願いします(センキュー イナドバンス), Thank you in advance!
全然気にしないで, No worries.
どうしたの？何してるの？, What's going on?
これであってる？, Did I get you right?
気にすることないよ, Don't take it to heart.
最後の言葉聞こえなかった, I didn't catch the last word.
ごめん、聞いてなかった, Sorry. I wasn't listening.
関係ないよ, It doesn't matter.
(いい結果を)祈ってる!, Fingers crossed!
あーなるほどね, Oh! That. That explains it.
そういうこともあるよね, Things happen.
邪魔してごめん(失礼します), Sorry to bother you.
ちょっと待って, I'll be with you in a minute.
ちょっと待って, Hold on a second.
何の話だった？, Where were we?
ごめん、聞き取れなかった, I'm sorry. I didn't catch you.
羨ましいな, Lucky you!
昨日めっちゃパ二クった, I freaked out last night.
良かったね, Good for you!
はあ？うそでしょ？, You've got to be kidding me!
元気出して大丈夫だよ, Cheer up! It's OK.
また話そうね, I'll talk to you later!
世界の終わりじゃないんだから(と言って励ます), Come on! It's not the end of the world.
最高だね, That's lit.
出来たね、出来ると知ってたよ, There you go! I knew you could do it
疲れてる？ 全然だよ!, Are you tired? Not a bit!
いいね!, That's sounds good!
また連絡するわ, I'll text you!
価値ないね, It's not worth it!
君、最高だね, You rock!
本当にごめん, I apologize.
本当にありがとう, I really appreciate it.
話せてよかった, It was nice catching up.
手伝ってくれない？, Could you help me out?
ちょっと見て！, Check this out!
着いたら連絡するね, I'll let you know when I'm there.
どういう意味？, What does that mean?
それは残念でしたね, I'm sorry to hear that.
これ借りてもいい？, Do you mind if I borrow this?
私、もう行かないといけないわ, I'd better get going.
華の金曜日だ, Thank god it's Friday.
元気でね!, Take care!

言ってることわかる？, Do you know what I mean?
雨が降る気がする, I have a feeling that it's going to rain.
それは理にかなっている, That makes sense.
